Ceremony,Year,Class,Category,Movie,Name,Nominees,Winner,Detail,Note
92,2019,Title,INTERNATIONAL FEATURE FILM,Honeyland,North Macedonia,,,,
92,2019,Title,INTERNATIONAL FEATURE FILM,Les Misérables,France,,,,
92,2019,Title,INTERNATIONAL FEATURE FILM,Pain and Glory,Spain,,,,
92,2019,Title,INTERNATIONAL FEATURE FILM,Parasite,South Korea,,True,,
93,2020/21,Title,INTERNATIONAL FEATURE FILM,Another Round,Denmark,,True,,
93,2020/21,Title,INTERNATIONAL FEATURE FILM,Better Days,Hong Kong,,,,
93,2020/21,Title,INTERNATIONAL FEATURE FILM,Collective,Romania,,,,
93,2020/21,Title,INTERNATIONAL FEATURE FILM,The Man Who Sold His Skin,Tunisia,,,,
93,2020/21,Title,INTERNATIONAL FEATURE FILM,"Quo Vadis, Aida?",Bosnia and Herzegovina,,,,
94,2021,Title,INTERNATIONAL FEATURE FILM,Drive My Car,Japan,,True,,
94,2021,Title,INTERNATIONAL FEATURE FILM,Flee,Denmark,,,,
94,2021,Title,INTERNATIONAL FEATURE FILM,The Hand of God,Italy,,,,
94,2021,Title,INTERNATIONAL FEATURE FILM,Lunana: A Yak in the Classroom,Bhutan,,,,
94,2021,Title,INTERNATIONAL FEATURE FILM,The Worst Person in the World,Norway,,,,
95,2022,Title,INTERNATIONAL FEATURE FILM,All Quiet on the Western Front,Germany,,True,,
95,2022,Title,INTERNATIONAL FEATURE FILM,"Argentina, 1985",Argentina,,,,
95,2022,Title,INTERNATIONAL FEATURE FILM,Close,Belgium,,,,
95,2022,Title,INTERNATIONAL FEATURE FILM,EO,Poland,,,,
95,2022,Title,INTERNATIONAL FEATURE FILM,The Quiet Girl,Ireland,,,,
95,2022,Special,AWARD OF COMMENDATION,Welcome to Chechnya,,Ryan Laney,True,,
96,2023,Title,INTERNATIONAL FEATURE FILM,Io Capitano,Italy,,,,
96,2023,Title,INTERNATIONAL FEATURE FILM,Perfect Days,Japan,,,,
96,2023,Title,INTERNATIONAL FEATURE FILM,Society of the Snow,Spain,,,,
96,2023,Title,INTERNATIONAL FEATURE FILM,The Teachers' Lounge,Germany,,,,
96,2023,Title,INTERNATIONAL FEATURE FILM,The Zone of Interest,United Kingdom,,True,,
97,2024,Title,INTERNATIONAL FEATURE FILM,Emilia Pérez,France,,,,
97,2024,Title,INTERNATIONAL FEATURE FILM,Flow,Latvia,,,,
97,2024,Title,INTERNATIONAL FEATURE FILM,The Girl with the Needle,Denmark,,,,
97,2024,Title,INTERNATIONAL FEATURE FILM,I'm Still Here,Brazil,,True,,
97,2024,Title,INTERNATIONAL FEATURE FILM,The Seed of the Sacred Fig,Germany,,,,
